label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
4228,13.5,13.5,2.0,119.31305609538184,35.60154077801724,0.0,1.0
4229,44.75,45.0,4.0,119.48108750840039,35.47939447491156,0.0,0.0
4230,22.0,22.0,1.0,119.31083307608702,35.59716423478259,0.0,0.0
4231,14.0,14.0,2.0,119.3030702767455,35.615762080630645,0.0,0.0
4232,11.0,11.0,1.0,119.31275328695654,35.599474721739114,0.0,0.0
4233,11.0,11.0,1.0,119.22089494000002,35.59788380399999,0.0,0.0
4234,684.0,684.0,1.0,118.88613152692284,35.54760773076926,1.0,0.0
4235,102.0,102.0,2.0,119.25429447545446,35.50415617512985,0.0,0.0
4236,31.5,31.5,2.0,119.2747603336383,35.55755496829269,0.0,0.0
4237,55.0,55.0,1.0,119.529626902564,35.45406267777779,1.0,0.0
4238,26.0,26.0,1.0,119.31262046296304,35.598971385185166,0.0,0.0
4239,462.5,83.0,4.0,119.3799344259123,35.13020346631286,0.0,0.0
4240,80.0,80.0,1.0,119.37915430773832,35.13024337321431,1.0,0.0
4241,262.5,262.5,2.0,118.79684915160021,35.616512830114374,1.0,0.0
4242,54.0,54.0,1.0,119.34981640550464,35.21874469541276,1.0,1.0
4243,15.0,15.0,2.0,119.38981297285453,35.4325119131467,0.0,0.0
4244,26.333333333333332,25.0,3.0,119.22084764345912,35.59962051050316,0.0,0.0
4245,68.66666666666667,78.0,3.0,119.22844857702303,35.62118592980072,1.0,0.0
4246,13.0,13.0,1.0,119.37773945862072,35.44428623793102,0.0,1.0
4247,305.5,305.5,2.0,119.41996003855192,35.11767195607034,0.0,0.0
4248,228.0,228.0,2.0,118.82251919422731,35.47644959888158,1.0,0.0
4249,40.5,40.5,2.0,118.8299273381278,35.47550282893654,0.0,1.0
4250,27.5,27.5,2.0,119.34897008277133,35.21076191354055,0.0,0.0
4251,158.0,158.0,2.0,119.26482232880953,35.506168732173705,1.0,0.0
4252,84.0,84.0,1.0,119.350212408046,35.447415386781564,1.0,0.0
4253,47.0,47.0,1.0,119.49692814777762,35.35124362999997,1.0,0.0
4254,16.0,16.0,1.0,119.5076899515152,35.35157800909093,0.0,0.0
4255,26.0,14.0,3.0,119.50265177886455,35.351787989169736,0.0,0.0
4256,96.33333333333333,130.0,3.0,119.51783905812705,35.36969393069172,0.0,0.0
4257,11.333333333333334,11.0,3.0,119.52101736202134,35.36146250134616,0.0,0.0
4258,14.0,14.0,2.0,119.52378515006056,35.361385728242425,0.0,0.0
4259,21.0,21.0,2.0,119.54831474195649,35.362429374806744,0.0,0.0
4260,13.0,13.0,1.0,119.551816325926,35.3718765148148,0.0,0.0
4261,11.0,11.0,1.0,119.51363339583332,35.36218432916667,0.0,0.0
4262,16.0,16.0,1.0,119.51705686969706,35.36182966363635,0.0,0.0
4263,12.0,12.0,1.0,119.54869048000008,35.36576715199998,0.0,0.0
4264,19.5,19.5,2.0,119.49651311947844,35.350943336598206,0.0,0.0
4265,207.2,62.0,5.0,119.50965116930031,35.360757977237114,0.0,0.0
4266,69.0,69.0,1.0,119.51477288551716,35.36031572275861,1.0,1.0
4267,56.0,56.0,2.0,119.51194374919686,35.36226349002592,0.0,0.0
4268,210.0,210.0,1.0,119.52460051007743,35.3208674627907,1.0,0.0
4269,16.0,16.0,1.0,119.52442712222222,35.32307705555556,0.0,1.0
4270,14.0,14.0,1.0,120.00748401666664,35.92688139285714,0.0,0.0
4271,51.0,51.0,1.0,120.00566078559982,35.926648023200045,1.0,1.0
4272,26.6,23.0,5.0,120.00382542517613,35.927702073691556,0.0,0.0
4273,30.0,30.0,1.0,119.71960077272728,35.635294627272735,0.0,0.0
4274,15.0,15.0,1.0,119.72227369782613,35.636051239130445,0.0,0.0
4275,12.75,13.0,4.0,119.7235518439537,35.63603448241551,0.0,0.0
4276,46.5,46.5,2.0,119.36011085290167,35.423136722678535,0.0,0.0
4277,21.0,21.0,1.0,119.50425434000005,35.351524486666705,0.0,0.0
4278,71.0,71.0,1.0,119.51796622777758,35.35677739652777,1.0,0.0
4279,132.0,132.0,1.0,119.51801411985,35.35839316516849,1.0,1.0
4280,28.0,28.0,1.0,119.51807633793106,35.36012045344828,0.0,0.0
4281,133.25,60.0,4.0,119.50501170333081,35.360632976853275,1.0,0.0
4282,286.0,286.0,2.0,118.88595380967942,35.54705426423078,1.0,0.0
4283,18.0,18.0,1.0,118.89236656153844,35.56187206923077,0.0,0.0
4284,13.0,13.0,1.0,119.18404317619046,35.11525520238095,0.0,1.0
4285,46.5,46.5,2.0,119.18054317946434,35.116526724702396,0.0,0.0
4286,522.0,522.0,1.0,118.89875769318184,35.53804424545455,1.0,0.0
4287,96.0,96.0,2.0,118.52930863705922,35.47672487393674,0.0,0.0
4288,26.0,26.0,1.0,119.62029549310344,35.606739481034445,0.0,0.0
4289,47.0,47.0,1.0,119.721639684,35.63174100100005,1.0,0.0
4290,44.0,44.0,1.0,119.18578340888884,35.114310383333304,1.0,0.0
4291,13.0,13.0,2.0,119.18228184606065,35.11424958981818,0.0,0.0
4292,38.0,38.0,1.0,119.50391825714286,35.360550319047626,0.0,0.0
4293,246.5,246.5,2.0,119.524697076941,35.32151054710504,1.0,0.0
4294,24.5,24.5,2.0,120.004914300688,35.92709093996315,0.0,0.0
4295,25.0,25.0,1.0,119.51171026153844,35.360077053846155,0.0,0.0
4296,26.0,26.0,2.0,118.94589238064353,35.534987039335746,0.0,0.0
4297,30.5,30.5,2.0,119.42727506500003,35.464282768846154,0.0,0.0
4298,21.0,21.0,1.0,119.3015262804348,35.6156866565217,0.0,0.0
4299,26.0,26.0,2.0,119.33925456534948,35.60924653643575,0.0,0.0
4300,38.0,38.0,1.0,119.46839830499988,35.32684082000003,0.0,0.0
4301,30.0,35.0,5.0,119.21836919044702,35.822201815896975,0.0,0.0
4302,16.0,16.0,1.0,119.3369495000001,35.60787492000002,0.0,0.0
4303,38.0,38.0,1.0,119.31862948125008,35.617048593750006,0.0,0.0
4304,16.0,16.0,2.0,118.86657402368418,37.20801104210528,0.0,0.0
4305,26.0,26.0,2.0,118.83697807017548,37.21353763333337,0.0,0.0
4306,34.0,34.0,2.0,118.8608386111112,37.193121019444405,0.0,1.0
4307,11.75,11.0,4.0,119.22382618951683,35.49341810075631,0.0,0.0
4308,124.0,124.0,1.0,119.0797156160643,35.50382402208827,1.0,0.0
4309,20.0,20.0,1.0,119.39448155909086,35.329271611363616,0.0,0.0
4310,166.0,166.0,1.0,119.45025179912264,35.34618652017546,1.0,0.0
4311,87.0,87.0,2.0,119.365919033843,35.594938889440755,1.0,0.0
4312,122.0,122.0,1.0,119.36808660984272,35.59532327283477,1.0,1.0
4313,64.5,64.5,2.0,119.36977326956313,35.59446914845962,1.0,0.0
4314,39.333333333333336,17.0,3.0,119.08010779449852,35.50318296914184,0.0,0.0
4315,109.0,109.0,1.0,119.39467381621596,35.328691130630546,1.0,0.0
4316,86.0,86.0,1.0,119.36421582277762,35.59549345555558,1.0,0.0
4317,46.0,46.0,1.0,119.36754286874992,35.59546635000003,1.0,0.0
4318,12.0,12.0,1.0,119.3392708135135,35.65375035945946,0.0,0.0
4319,67.0,57.0,3.0,119.33791717108589,35.654152597589444,1.0,0.0
4320,98.0,98.0,2.0,119.33671949477474,35.656278552523,1.0,0.0
4321,34.0,34.0,1.0,119.23745391938776,35.64135952959186,0.0,0.0
4322,80.0,80.0,1.0,119.20211549473689,35.61447895187971,1.0,0.0
4323,30.0,30.0,1.0,119.224907925,35.51076393,0.0,0.0
4324,19.5,19.5,2.0,119.50423005788463,34.57960456192308,0.0,0.0
4325,168.0,168.0,2.0,119.5033299944732,34.57925853478967,1.0,0.0
4326,14.0,14.0,1.0,119.53036130624996,35.343641674999986,0.0,1.0
4327,122.0,71.0,3.0,119.27599331129505,35.560720828155105,0.0,0.0
4328,18.5,18.5,2.0,119.33862713026764,35.18243137261497,0.0,0.0
4329,41.0,41.0,1.0,119.13368130705872,35.39113799999995,1.0,0.0
4330,24.0,24.0,1.0,119.13361734705882,35.39074756470588,0.0,1.0
4331,134.0,134.0,1.0,118.92117232222232,35.82705430185184,1.0,1.0
4332,12.0,12.0,1.0,118.83993704999996,35.95219595555556,0.0,0.0
4333,31.0,31.0,1.0,118.84259444583336,35.952873195833355,0.0,0.0
4334,53.0,53.0,1.0,118.8447236632182,35.952684444827604,1.0,0.0
4335,38.0,38.0,1.0,118.84666641904757,35.952960398412735,0.0,0.0
4336,18.0,18.0,1.0,118.83298200000004,35.619932144,0.0,0.0
4337,88.0,88.0,1.0,118.8305804492232,35.6190724953369,1.0,0.0
4338,12.0,12.0,1.0,118.87938328125004,35.03673249687501,0.0,0.0
4339,28.0,28.0,2.0,118.90378230947624,35.039402306309526,0.0,0.0
4340,44.0,44.0,1.0,118.89046540952378,35.65321293809524,1.0,0.0
4341,36.0,36.0,1.0,118.91174416031754,35.79473347142853,0.0,0.0
4342,42.0,42.0,2.0,119.07104285745567,35.839175122625775,0.0,0.0
4343,47.0,47.0,1.0,119.06678243232312,35.83894685858588,1.0,1.0
4344,12.0,12.0,1.0,119.224656128,35.50979320799999,0.0,0.0
4345,23.0,23.0,2.0,119.40652898848683,35.43926058042763,0.0,0.0
4346,12.0,12.0,2.0,119.30203573866393,35.49198473920377,0.0,0.0
4347,43.0,29.0,5.0,119.52240507710526,35.3285355128824,0.0,0.0
4348,57.0,57.0,1.0,119.38623066229503,35.12947333770489,1.0,0.0
4349,42.333333333333336,14.0,3.0,119.35615053607005,35.42899832425838,0.0,0.0
4350,117.0,117.0,2.0,119.4048964462506,35.338964687131096,0.0,0.0
4351,15.0,15.0,1.0,119.40033448,35.33892333714285,0.0,1.0
4352,38.0,38.0,1.0,118.95805787594936,35.52262793670887,0.0,1.0
4353,16.5,16.5,2.0,119.52454147606383,35.33250802656028,0.0,1.0
4354,41.0,41.0,1.0,119.52252832727297,35.32932168522731,1.0,1.0
